Age,PAtt,RuAtt,Cmp,Ctch%,DK Pt,Date,Day,FD Pt,Fant Pt,Fmb,G#,H/A,Int,Lg,Name,Number of Records,Opp,Rec,Result,Rk,ReTd,PTd,RuTD,Tgt,Tm,Week,RuY/A,ReY/R,ReY/Tgt,ReYds,PYds,RuYds
22-208,0,0,0,0.6,17,9/9/12,Sun,15.5,14,0,1,,0,NFL,Alshon Jeffery\JeffAl00,1,IND,3,W 41-21,916,1,0,0,5,CHI,1,,26.67,16,80,0,0
26-022,0,1,0,0.429,17,11/26/12,Mon,15.5,14,0,11,@,0,NFL,Brandon LaFell\LaFeBr00,1,PHI,3,W 30-22,917,1,0,0,7,CAR,12,6,24.67,10.57,74,0,6
23-066,0,0,0,0.667,20,9/20/15,Sun,17,14,0,2,,0,NFL,Jordan Matthews\MattJo00,1,DAL,6,L 10-20,918,1,0,0,9,PHI,2,,13.33,8.89,80,0,0
24-186,0,0,0,1,15,9/30/12,Sun,14.5,14,0,4,@,0,NFL,Joe Morgan\MorgJo01,1,GNB,1,L 27-28,919,1,0,0,1,NOR,4,,80,80,80,0,0
29-141,0,0,0,0.8,18,10/19/14,Sun,16,14,0,7,,0,NFL,Jordy Nelson\NelsJo00,1,CAR,4,W 38-17,920,1,0,0,5,GNB,7,,20,16,80,0,0
22-313,0,0,0,0.4,18,11/29/15,Sun,16,14,0,11,@,0,NFL,DeVante Parker\ParkDe01,1,NYJ,4,L 20-38,921,1,0,0,10,MIA,12,,20,8,80,0,0
24-234,0,0,0,0.4,16,12/27/15,Sun,15,14,0,15,@,0,NFL,Rueben Randle\RandRu00,1,MIN,2,L 17-49,922,1,0,0,5,NYG,16,,40,16,80,0,0
27-216,0,0,0,0.875,24,9/8/13,Sun,17.5,14,0,1,@,0,NFL,Jerome Simpson\SimpJe00,1,DET,7,L 24-34,923,0,0,0,8,MIN,1,,20,17.5,140,0,0
28-096,0,1,0,0.917,25,11/6/16,Sun,19.5,14,0,9,@,0,NFL,Golden Tate\TateGo00,1,MIN,11,W 22-16,924,1,0,0,12,DET,9,1,7.18,6.58,79,0,1
28-275,0,0,0,0.857,24,9/25/16,Sun,17,14,1,3,@,0,NFL,Demaryius Thomas\ThomDe03,1,CIN,6,W 29-17,925,1,0,0,7,DEN,3,,16.67,14.29,100,0,0
31-081,0,0,0,0.5,15,11/17/14,Mon,14.5,14,0,10,,0,NFL,Nate Washington\WashNa00,1,PIT,1,L 24-27,926,1,0,0,2,TEN,11,,80,40,80,0,0
24-254,0,0,0,0.7,24,10/23/16,Sun,17.5,14,0,7,@,0,NFL,Tyrell Williams\WillTy00,1,ATL,7,W 33-30,927,0,0,0,10,SDG,7,,20,14,140,0,0
22-323,0,0,0,0.778,20.9,9/24/15,Thu,17.4,13.9,0,3,,0,NFL,Odell Beckham\BeckOd00,1,WAS,7,W 32-21,928,1,0,0,9,NYG,3,,11.29,8.78,79,0,0
22-349,0,0,0,0.583,20.9,12/23/12,Sun,17.4,13.9,0,15,,0,NFL,Justin Blackmon\BlacJu00,1,NWE,7,L 16-23,929,1,0,0,12,JAX,16,,11.29,6.58,79,0,0
25-199,0,0,0,0.778,20.9,9/30/12,Sun,17.4,13.9,0,4,,0,NFL,Eric Decker\DeckEr00,1,OAK,7,W 37-6,930,1,0,0,9,DEN,4,,11.29,8.78,79,0,0
28-238,0,0,0,0.667,19.9,11/8/15,Sun,16.9,13.9,0,8,,0,NFL,Eric Decker\DeckEr00,1,JAX,6,W 28-23,931,1,0,0,9,NYJ,9,,13.17,8.78,79,0,0
33-090,0,0,0,0.583,21.9,10/9/14,Thu,17.4,13.9,1,6,,0,NFL,Andre Johnson\JohnAn02,1,IND,7,L 28-33,932,1,0,0,12,HOU,6,,14.14,8.25,99,0,0
27-325,0,0,0,0.714,18.9,10/19/14,Sun,16.4,13.9,0,7,@,0,NFL,Steve Johnson\JohnSt00,1,DEN,5,L 17-42,933,1,0,0,7,SFO,7,,15.8,11.29,79,0,0
23-024,0,0,0,1,18.9,10/22/15,Thu,16.4,13.9,0,7,@,0,NFL,Tyler Lockett\LockTy00,1,SFO,5,W 20-3,934,1,0,0,5,SEA,7,,15.8,15.8,79,0,0
23-305,0,0,0,0.8,21.9,11/20/16,Sun,17.9,13.9,0,10,@,0,NFL,DeVante Parker\ParkDe01,1,LAR,8,W 14-10,935,1,0,0,10,MIA,11,,9.88,7.9,79,0,0
27-269,0,0,0,1,20.9,11/9/14,Sun,17.4,13.9,0,9,@,0,NFL,Preston Parker\ParkPr00,1,SEA,7,L 17-38,936,1,0,0,7,NYG,10,,11.29,11.29,79,0,0
24-241,0,0,0,0.571,17.9,1/3/16,Sun,15.9,13.9,0,16,,0,NFL,Rueben Randle\RandRu00,1,PHI,4,L 30-35,937,1,0,0,7,NYG,17,,19.75,11.29,79,0,0
26-075,0,0,0,1,17.9,11/22/15,Sun,15.9,13.9,0,10,@,0,NFL,Terrance Williams\WillTe01,1,MIA,4,W 24-14,938,1,0,0,4,DAL,11,,19.75,19.75,79,0,0
27-044,0,0,0,0.5,19.8,12/16/12,Sun,16.8,13.8,0,14,,0,NFL,Danny Amendola\AmenDa00,1,MIN,6,L 22-36,939,1,0,0,12,STL,15,,9.67,4.83,58,0,0
28-091,0,0,0,0.818,22.8,10/9/16,Sun,18.3,13.8,0,5,,0,NFL,Antonio Brown\BrowAn04,1,NYJ,9,W 31-13,940,1,0,0,11,PIT,5,,8.67,7.09,78,0,0
26-254,0,0,0,1,15.8,9/18/16,Sun,14.8,13.8,0,2,,0,NFL,Jaron Brown\BrowJa03,1,TAM,2,W 40-7,941,1,0,0,2,ARI,2,,39,39,78,0,0
25-251,0,0,0,0.8,17.8,12/10/15,Thu,15.8,13.8,0,13,,0,NFL,John Brown\BrowJo02,1,MIN,4,W 23-20,942,1,0,0,5,ARI,14,,19.5,15.6,78,0,0
23-100,0,0,0,0.571,17.8,9/25/16,Sun,15.8,13.8,0,3,@,0,NFL,Jamison Crowder\CrowJa00,1,NYG,4,W 29-27,943,1,0,0,7,WAS,3,,19.5,11.14,78,0,0
30-175,0,0,0,0.667,15.8,10/4/15,Sun,14.8,13.8,0,4,@,0,NFL,Ted Ginn\GinnTe00,1,TAM,2,W 37-23,944,2,0,0,3,CAR,4,,9,6,18,0,0
25-259,0,1,0,0.625,18.8,11/11/12,Sun,16.3,13.8,0,9,@,0,NFL,Darrius Heyward-Bey\HeywDa00,1,BAL,5,L 20-55,945,1,0,0,8,OAK,10,-4,16.4,10.25,82,0,-4
23-032,0,0,0,0.5,16.8,12/16/12,Sun,15.3,13.8,0,14,@,0,NFL,T.Y. Hilton\HiltT.00,1,HOU,3,L 17-29,946,1,0,0,6,IND,15,,26,13,78,0,0
23-362,0,0,0,0.8,17.8,10/11/15,Sun,15.8,13.8,0,5,,0,NFL,Josh Huff\HuffJo00,1,NOR,4,W 39-17,947,1,0,0,5,PHI,5,,19.5,15.6,78,0,0
24-304,0,0,0,0.444,17.8,12/15/14,Mon,15.8,13.8,0,14,,0,NFL,Alshon Jeffery\JeffAl00,1,NOR,4,L 15-31,948,1,0,0,9,CHI,15,,19.5,8.67,78,0,0
30-071,0,0,0,0.778,20.8,12/1/13,Sun,17.3,13.8,0,12,,0,NFL,Greg Jennings\JennGr00,1,CHI,7,W 23-20,949,1,0,0,9,MIN,13,,11.14,8.67,78,0,0
25-131,0,0,0,0.727,21.8,9/15/13,Sun,17.8,13.8,0,2,@,0,NFL,Austin Pettis\PettAu00,1,ATL,8,L 24-31,950,1,0,0,11,STL,2,,9.75,7.09,78,0,0
24-267,0,0,0,0.727,21.8,9/17/12,Mon,17.8,13.8,0,2,@,0,NFL,Demaryius Thomas\ThomDe03,1,ATL,8,L 21-27,951,1,0,0,11,DEN,2,,9.75,7.09,78,0,0
23-227,0,0,0,1,18.8,10/16/16,Sun,16.3,13.8,0,5,,0,NFL,Michael Thomas\ThomMi05,1,CAR,5,W 41-38,952,1,0,0,5,NOR,6,,15.6,15.6,78,0,0
26-124,0,0,0,0.714,18.7,10/1/15,Thu,16.2,13.7,0,4,@,0,NFL,Kamar Aiken\AikeKa00,1,PIT,5,W 23-20,953,1,0,0,7,BAL,4,,15.4,11,77,0,0
28-113,0,0,0,0.556,19.7,10/21/12,Sun,16.2,13.7,1,6,@,0,NFL,Miles Austin\AustMi00,1,CAR,5,W 19-14,954,1,0,0,9,DAL,7,,19.4,10.78,97,0,0
25-072,0,0,0,0.8,17.7,12/2/13,Mon,15.7,13.7,0,12,,0,NFL,Doug Baldwin\BaldDo00,1,NOR,4,W 34-7,955,1,0,0,5,SEA,13,,19.25,15.4,77,0,0
27-136,0,0,0,0.545,19.7,9/20/15,Sun,16.7,13.7,0,2,@,0,NFL,Leonard Hankerson\HankLe00,1,NYG,6,W 24-20,956,1,0,0,11,ATL,2,,12.83,7,77,0,0
26-158,0,1,0,0.846,27.7,11/2/14,Sun,19.2,13.7,0,9,@,0,NFL,Percy Harvin\HarvPe00,1,KAN,11,L 10-24,957,0,0,0,13,NYJ,9,8,11.73,9.92,129,0,8
28-206,0,0,0,0.8,17.7,9/20/15,Sun,15.7,13.7,0,2,,0,NFL,Darrius Heyward-Bey\HeywDa00,1,SFO,4,W 43-18,958,1,0,0,5,PIT,2,,19.25,15.4,77,0,0
23-298,0,1,0,0.556,18.7,12/9/13,Mon,16.2,13.7,0,13,,0,NFL,Alshon Jeffery\JeffAl00,1,DAL,5,W 45-28,959,1,0,0,9,CHI,14,-7,16.8,9.33,84,0,-7
31-194,0,0,0,0.667,15.7,10/11/15,Sun,14.7,13.7,0,5,,0,NFL,James Jones\JoneJa04,1,STL,2,W 24-10,960,1,0,0,3,GNB,5,,38.5,25.67,77,0,0
26-278,0,0,0,0.588,26.7,11/8/15,Sun,18.7,13.7,0,9,@,0,NFL,Julio Jones\JoneJu02,1,SFO,10,L 16-17,961,0,0,0,17,ATL,9,,13.7,8.06,137,0,0
23-275,0,1,0,0.833,21.7,11/4/12,Sun,16.2,13.7,0,8,,0,NFL,Julio Jones\JoneJu02,1,DAL,5,W 19-13,962,0,0,0,6,ATL,9,8,25.8,21.5,129,0,8
24-316,0,0,0,0.385,18.7,11/25/12,Sun,16.2,13.7,0,11,,0,NFL,Hakeem Nicks\NickHa01,1,GNB,5,W 38-10,963,1,0,0,13,NYG,12,,15.4,5.92,77,0,0
26-036,0,0,0,0.833,18.7,10/23/16,Sun,16.2,13.7,0,6,@,0,NFL,Russell Shepard\ShepRu00,1,SFO,5,W 34-17,964,1,0,0,6,TAM,7,,15.4,12.83,77,0,0
24-346,0,0,0,0.583,20.7,12/2/12,Sun,17.2,13.7,0,12,@,0,NFL,Cecil Shorts\ShorCe00,1,BUF,7,L 18-34,965,1,0,0,12,JAX,13,,11,6.42,77,0,0
30-034,1,0,1,0.538,20.6,12/6/15,Sun,17.1,13.64,0,12,,0,NFL,Danny Amendola\AmenDa00,1,PHI,7,L 28-35,966,1,0,0,13,NWE,13,,8.86,4.77,62,36,0
23-045,0,0,0,0.667,19.6,12/20/15,Sun,16.6,13.6,1,14,,0,NFL,Odell Beckham\BeckOd00,1,CAR,6,L 35-38,967,1,0,0,9,NYG,15,,12.67,8.44,76,0,0
23-235,0,0,0,0.556,18.6,9/28/14,Sun,16.1,13.6,0,4,@,0,NFL,Kelvin Benjamin\BenjKe00,1,BAL,5,L 10-38,968,1,0,0,9,CAR,4,,15.2,8.44,76,0,0
28-040,0,0,0,0.5,16.6,10/19/15,Mon,15.1,13.6,0,6,,0,NFL,Riley Cooper\CoopRi00,1,NYG,3,W 27-7,969,1,0,0,6,PHI,6,,25.33,12.67,76,0,0
25-192,0,0,0,0.727,24.6,9/23/12,Sun,17.6,13.6,0,3,,0,NFL,Eric Decker\DeckEr00,1,HOU,8,L 25-31,970,0,0,0,11,DEN,3,,17,12.36,136,0,0
22-337,0,0,0,0.615,21.6,10/31/16,Mon,17.6,13.6,0,7,@,0,NFL,Stefon Diggs\DiggSt00,1,CHI,8,L 10-20,971,1,0,0,13,MIN,8,,9.5,5.85,76,0,0
25-170,0,0,0,0.5,14.6,11/27/16,Sun,14.1,13.6,0,11,,0,NFL,Bennie Fowler\FowlBe00,1,KAN,1,L 27-30,972,1,0,0,2,DEN,12,,76,38,76,0,0
25-260,0,2,0,1,18.6,11/3/16,Thu,16.1,13.6,0,9,@,0,NFL,Taylor Gabriel\GabrTa00,1,TAM,5,W 43-28,973,0,0,1,5,ATL,9,12,10.4,10.4,52,0,24
25-270,0,0,0,0.2,14.6,11/13/16,Sun,14.1,13.6,0,10,@,0,NFL,Taylor Gabriel\GabrTa00,1,PHI,1,L 15-24,974,1,0,0,5,ATL,10,,76,15.2,76,0,0
25-165,0,0,0,0.636,23.6,11/28/13,Thu,17.1,13.6,0,12,@,0,NFL,Andre Holmes\HolmAn00,1,DAL,7,L 24-31,975,0,0,0,11,OAK,13,,19.43,12.36,136,0,0
21-136,0,0,0,0.75,16.6,10/20/13,Sun,15.1,13.6,0,7,@,0,NFL,DeAndre Hopkins\HopkDe00,1,KAN,3,L 16-17,976,1,0,0,4,HOU,7,,25.33,19,76,0,0
27-330,0,0,0,0.857,22.6,10/27/14,Mon,16.6,13.6,0,8,@,0,NFL,DeSean Jackson\JackDe00,1,DAL,6,W 20-17,977,0,0,0,7,WAS,8,,22.67,19.43,136,0,0
24-240,0,2,0,0.714,21.6,10/12/14,Sun,16.1,13.6,0,6,@,0,NFL,Alshon Jeffery\JeffAl00,1,ATL,5,W 27-13,978,0,0,0,7,CHI,6,0,27.2,19.43,136,0,0
24-034,0,0,0,0.75,22.6,1/1/17,Sun,18.1,13.6,0,16,,0,NFL,Jarvis Landry\LandJa00,1,NWE,9,L 14-35,979,1,0,0,12,MIA,17,,8.44,6.33,76,0,0
26-147,0,0,0,0.455,18.6,10/5/14,Sun,16.1,13.6,0,5,,0,NFL,Jeremy Maclin\MaclJe00,1,STL,5,W 34-28,980,1,0,0,11,PHI,5,,15.2,6.91,76,0,0
23-074,0,0,0,0.583,20.6,11/6/16,Sun,17.1,13.6,0,8,@,0,NFL,Allen Robinson\RobiAl02,1,KAN,7,L 14-19,981,1,0,0,12,JAX,9,,10.86,6.33,76,0,0
26-314,0,0,0,0.667,15.6,12/6/15,Sun,14.6,13.6,0,12,@,0,NFL,Torrey Smith\SmitTo02,1,CHI,2,W 26-20,982,1,0,0,3,SFO,13,,38,25.33,76,0,0
27-264,0,0,0,0.429,16.6,10/16/16,Sun,15.1,13.6,0,6,@,0,NFL,Torrey Smith\SmitTo02,1,BUF,3,L 16-45,983,1,0,0,7,SFO,6,,25.33,10.86,76,0,0
21-251,0,0,0,1,14.6,12/29/13,Sun,14.1,13.6,0,16,,0,NFL,Kenny Stills\StilKe00,1,TAM,1,W 42-17,984,1,0,0,1,NOR,17,,76,76,76,0,0
22-203,0,0,0,0.733,27.6,1/3/16,Sun,19.1,13.6,0,16,,0,NFL,Sammy Watkins\WatkSa00,1,NYJ,11,W 22-17,985,0,0,0,15,BUF,17,,12.36,9.07,136,0,0
27-094,0,0,0,0.833,18.6,12/11/16,Sun,16.1,13.6,0,13,@,0,NFL,Terrance Williams\WillTe01,1,NYG,5,L 7-10,986,1,0,0,6,DAL,14,,15.2,12.67,76,0,0
22-154,0,0,0,0.909,26.5,9/28/14,Sun,18.5,13.5,0,4,,0,NFL,Keenan Allen\AlleKe00,1,JAX,10,W 33-14,987,0,0,0,11,SDG,4,,13.5,12.27,135,0,0
25-043,0,0,0,0.6,19.5,11/3/13,Sun,16.5,13.5,0,9,,0,NFL,Doug Baldwin\BaldDo00,1,TAM,6,W 27-24,988,1,0,0,10,SEA,9,,12.5,7.5,75,0,0
27-284,0,0,0,0.625,26.5,11/13/16,Sun,18.5,13.5,0,10,@,0,NFL,Julio Jones\JoneJu02,1,PHI,10,L 15-24,989,0,0,0,16,ATL,10,,13.5,8.44,135,0,0
26-229,0,0,0,0.867,29.5,9/20/15,Sun,20,13.5,0,2,@,0,NFL,Julio Jones\JoneJu02,1,NYG,13,W 24-20,990,0,0,0,15,ATL,2,,10.38,9,135,0,0
23-277,0,0,0,0.75,16.5,11/10/13,Sun,15,13.5,0,10,@,0,NFL,Jermaine Kearse\KearJe01,1,ATL,3,W 33-10,991,1,0,0,4,SEA,10,,25,18.75,75,0,0
21-318,0,0,0,0.75,19.5,10/12/14,Sun,16.5,13.5,0,5,,0,NFL,Jarvis Landry\LandJa00,1,GNB,6,L 24-27,992,1,0,0,8,MIA,6,,12.5,9.38,75,0,0
23-005,0,0,0,0.75,19.5,11/30/14,Sun,16.5,13.5,0,12,,0,NFL,Marqise Lee\LeexMa00,1,NYG,6,W 25-24,993,1,0,0,8,JAX,13,,12.5,9.38,75,0,0
26-013,0,0,0,1,16.5,10/25/15,Sun,15,13.5,0,6,,0,NFL,Rishard Matthews\MattRi00,1,HOU,3,W 44-26,994,1,0,0,3,MIA,7,,25,25,75,0,0
25-328,0,0,0,0.714,21.5,12/8/13,Sun,16,13.5,0,13,@,0,NFL,Hakeem Nicks\NickHa01,1,SDG,5,L 14-37,995,0,0,0,7,NYG,14,,27,19.29,135,0,0
22-156,0,0,0,0.6,16.5,10/10/13,Thu,15,13.5,0,6,@,0,NFL,Rueben Randle\RandRu00,1,CHI,3,L 21-27,996,1,0,0,5,NYG,6,,25,15,75,0,0
,0,0,0,0.833,18.5,12/18/16,Sun,16,13.5,0,14,@,0,NFL,Eli Rogers\RogeEl00,1,CIN,5,W 24-20,997,1,0,0,6,PIT,15,,15,12.5,75,0,0
25-287,0,0,0,0.625,18.5,11/9/14,Sun,16,13.5,0,10,,0,NFL,Torrey Smith\SmitTo02,1,TEN,5,W 21-7,998,1,0,0,8,BAL,10,,15,9.38,75,0,0
21-202,0,0,0,0.75,16.5,11/10/13,Sun,15,13.5,0,9,,0,NFL,Kenny Stills\StilKe00,1,DAL,3,W 49-17,999,1,0,0,4,NOR,10,,25,18.75,75,0,0
25-306,0,0,0,0.636,20.5,10/27/13,Sun,17,13.5,0,8,,0,NFL,Demaryius Thomas\ThomDe03,1,WAS,7,W 45-21,1000,1,0,0,11,DEN,8,,10.71,6.82,75,0,0
24-322,0,0,0,0.818,25.5,11/11/12,Sun,18,13.5,0,9,@,0,NFL,Demaryius Thomas\ThomDe03,1,CAR,9,W 36-14,1001,0,0,0,11,DEN,10,,15,12.27,135,0,0
21-190,0,0,0,0.429,16.5,12/21/14,Sun,15,13.5,0,15,@,0,NFL,Sammy Watkins\WatkSa00,1,OAK,3,L 24-26,1002,1,0,0,7,BUF,16,,25,10.71,75,0,0
25-085,0,1,0,0.857,19.4,12/15/13,Sun,16.4,13.4,0,14,@,0,NFL,Doug Baldwin\BaldDo00,1,NYG,6,W 23-0,1003,1,0,0,7,SEA,15,3,11.83,10.14,71,0,3
24-023,0,0,0,0.667,15.4,10/14/12,Sun,14.4,13.4,0,6,,0,NFL,Doug Baldwin\BaldDo00,1,NWE,2,W 24-23,1004,1,0,0,3,SEA,6,,37,24.67,74,0,0
22-321,0,1,0,0.833,18.4,11/25/12,Sun,15.9,13.4,0,11,,0,NFL,Justin Blackmon\BlacJu00,1,TEN,5,W 24-19,1005,1,0,0,6,JAX,12,12,12.4,10.33,62,0,12
29-081,0,0,0,0.636,20.4,12/4/16,Sun,16.9,13.4,0,12,,0,NFL,Michael Crabtree\CrabMi00,1,BUF,7,W 38-24,1006,1,0,0,11,OAK,13,,10.57,6.73,74,0,0
28-273,0,0,0,0.7,20.4,12/13/15,Sun,16.9,13.4,0,13,,0,NFL,Eric Decker\DeckEr00,1,TEN,7,W 30-8,1007,1,0,0,10,NYJ,14,,10.57,7.4,74,0,0
29-065,0,0,0,0.5,19.4,11/4/12,Sun,16.4,13.4,0,9,@,0,NFL,Larry Fitzgerald\FitzLa00,1,GNB,6,L 17-31,1008,1,0,0,12,ARI,9,,12.33,6.17,74,0,0
24-139,0,2,0,0.786,27.4,10/14/12,Sun,18.9,13.4,1,6,@,0,NFL,Percy Harvin\HarvPe00,1,WAS,11,L 26-38,1009,0,0,0,14,MIN,6,0.5,12.09,9.5,133,0,1
26-236,0,1,0,0.571,17.4,10/20/13,Sun,15.4,13.4,0,7,,0,NFL,Darrius Heyward-Bey\HeywDa00,1,DEN,4,W 39-33,1010,1,0,0,7,IND,7,30,11,6.29,44,0,30
25-338,0,0,0,0.667,19.4,10/18/15,Sun,16.4,13.4,0,6,,0,NFL,T.Y. Hilton\HiltT.00,1,NWE,6,L 27-34,1011,1,0,0,9,IND,6,,12.33,8.22,74,0,0
26-104,0,0,0,0.417,18.4,9/28/14,Sun,15.9,13.4,0,4,,0,NFL,Andre Holmes\HolmAn00,1,MIA,5,L 14-38,1012,1,0,0,12,OAK,4,,14.8,6.17,74,0,0
29-281,0,0,0,0.6,19.4,12/29/13,Sun,16.4,13.4,0,16,,0,NFL,Brandon Marshall\MarsBr00,1,GNB,6,L 28-33,1013,1,0,0,10,CHI,17,,12.33,7.4,74,0,0
25-354,0,0,0,0.5,16.4,12/29/13,Sun,14.9,13.4,0,16,,0,NFL,Andre Roberts\RobeAn00,1,SFO,3,L 20-23,1014,1,0,0,6,ARI,17,,24.67,12.33,74,0,0
25-288,0,0,0,0.5,18.4,10/6/13,Sun,15.9,13.4,0,5,@,0,NFL,Cecil Shorts\ShorCe00,1,STL,5,L 20-34,1015,1,0,0,10,JAX,5,,14.8,7.4,74,0,0
24-160,0,0,0,0.333,14.4,9/29/16,Thu,13.9,13.4,0,4,@,0,NFL,Kenny Stills\StilKe00,1,CIN,1,L 7-22,1016,1,0,0,3,MIA,4,,74,24.67,74,0,0
26-046,0,0,0,1,18.4,9/16/12,Sun,15.9,13.4,0,2,,0,NFL,Mike Wallace\WallMi00,1,NYJ,5,W 27-10,1017,1,0,0,5,PIT,2,,14.8,14.8,74,0,0
32-065,0,0,0,0.667,17.4,11/1/15,Sun,15.4,13.4,0,8,,0,NFL,Nate Washington\WashNa00,1,TEN,4,W 20-6,1018,1,0,0,6,HOU,8,,18.5,12.33,74,0,0
22-179,0,0,0,0.692,22.3,10/23/14,Thu,17.8,13.3,0,8,@,0,NFL,Keenan Allen\AlleKe00,1,DEN,9,L 21-35,1019,1,0,0,13,SDG,8,,8.11,5.62,73,0,0
28-067,0,0,0,1,17.3,9/5/12,Wed,15.3,13.3,0,1,@,0,NFL,Miles Austin\AustMi00,1,NYG,4,W 24-17,1020,1,0,0,4,DAL,1,,18.25,18.25,73,0,0
28-120,0,0,0,0.563,25.3,10/28/12,Sun,17.8,13.3,0,7,,0,NFL,Miles Austin\AustMi00,1,NYG,9,L 24-29,1021,0,0,0,16,DAL,8,,14.78,8.31,133,0,0
29-233,0,0,0,0.583,23.3,12/9/12,Sun,16.8,13.3,0,13,@,0,NFL,Jason Avant\AvanJa00,1,TAM,7,W 23-21,1022,0,0,0,12,PHI,14,,19,11.08,133,0,0
24-043,0,1,0,0.75,19.3,12/18/16,Sun,16.3,13.3,0,14,,0,NFL,Odell Beckham\BeckOd00,1,DET,6,W 17-6,1023,1,0,0,8,NYG,15,9,10.67,8,64,0,9
24-220,0,0,0,0.625,18.3,11/9/14,Sun,15.8,13.3,0,9,,0,NFL,John Brown\BrowJo02,1,STL,5,W 31-14,1024,1,0,0,8,ARI,10,,14.6,9.13,73,0,0
25-191,0,0,0,1,17.3,10/11/15,Sun,15.3,13.3,0,5,@,0,NFL,John Brown\BrowJo02,1,DET,4,W 42-17,1025,1,0,0,4,ARI,5,,18.25,18.25,73,0,0
26-047,0,0,0,1,18.3,12/21/14,Sun,15.8,13.3,0,15,,0,NFL,Dez Bryant\BryaDe01,1,IND,5,W 42-7,1026,1,0,0,5,DAL,16,,14.6,14.6,73,0,0
25-048,0,0,0,0.364,17.3,12/22/13,Sun,15.3,13.3,0,15,@,0,NFL,Dez Bryant\BryaDe01,1,WAS,4,W 24-23,1027,1,0,0,11,DAL,16,,18.25,6.64,73,0,0
23-167,0,0,0,0.571,17.3,12/6/15,Sun,15.3,13.3,0,12,,0,NFL,Brandon Coleman\ColeBr00,1,CAR,4,L 38-41,1028,1,0,0,7,NOR,13,,18.25,10.43,73,0,0
29-138,0,0,0,0.7,20.3,10/21/12,Sun,16.8,13.3,0,6,@,0,NFL,Marques Colston\ColsMa00,1,TAM,7,W 35-28,1029,1,0,0,10,NOR,7,,10.43,7.3,73,0,0
24-145,0,0,0,0.5,15.3,10/23/16,Sun,14.3,13.3,0,7,,0,NFL,Quincy Enunwa\EnunQu00,1,BAL,2,W 24-16,1030,1,0,0,4,NYJ,7,,36.5,18.25,73,0,0
23-320,0,0,0,0.667,15.3,9/23/12,Sun,14.3,13.3,0,3,@,0,NFL,Jeremy Kerley\KerlJe00,1,MIA,2,W 23-20,1031,1,0,0,3,NYJ,3,,36.5,24.33,73,0,0
30-120,0,0,0,0.8,17.3,12/29/13,Sun,15.3,13.3,0,16,,0,NFL,Lance Moore\MoorLa00,1,TAM,4,W 42-17,1032,1,0,0,5,NOR,17,,18.25,14.6,73,0,0
31-110,0,0,0,0.455,18.3,9/18/16,Sun,15.8,13.3,0,2,@,0,NFL,Jordy Nelson\NelsJo00,1,MIN,5,L 14-17,1033,1,0,0,11,GNB,2,,14.6,6.64,73,0,0
22-228,0,0,0,0.714,18.3,9/25/16,Sun,15.8,13.3,0,3,,0,NFL,Sterling Shepard\ShepSt00,1,WAS,5,L 27-29,1034,1,0,0,7,NYG,3,,14.6,10.43,73,0,0
23-160,0,0,0,0.571,17.2,10/4/15,Sun,15.2,13.2,0,4,,0,NFL,Keenan Allen\AlleKe00,1,CLE,4,W 30-27,1035,1,0,0,7,SDG,4,,18,10.29,72,0,0
33-081,0,0,0,0.857,19.2,12/23/13,Mon,16.2,13.2,0,15,,0,NFL,Anquan Boldin\BoldAn00,1,ATL,6,W 34-24,1036,1,0,0,7,SFO,16,,12,10.29,72,0,0
26-164,0,0,0,0.778,20.2,12/21/14,Sun,16.7,13.2,0,15,,0,NFL,Antonio Brown\BrowAn04,1,KAN,7,W 20-12,1037,1,0,0,9,PIT,16,,10.29,8,72,0,0
28-025,0,0,0,0.667,15.2,10/4/15,Sun,14.2,13.2,0,4,@,0,NFL,Riley Cooper\CoopRi00,1,WAS,2,L 20-23,1038,1,0,0,3,PHI,4,,36,24,72,0,0
33-074,0,0,0,0.667,28.2,11/13/16,Sun,19.2,13.2,0,9,,0,NFL,Larry Fitzgerald\FitzLa00,1,SFO,12,W 23-20,1039,0,0,0,18,ARI,10,,11,7.33,132,0,0
30-092,0,0,0,0.625,18.2,12/1/13,Sun,15.7,13.2,0,12,@,0,NFL,Larry Fitzgerald\FitzLa00,1,PHI,5,L 21-24,1040,1,0,0,8,ARI,13,,14.4,9,72,0,0
24-117,0,2,0,0.333,19.2,11/25/12,Sun,14.7,13.2,0,11,,0,NFL,A.J. Green\GreeA.00,1,OAK,3,W 34-10,1041,0,0,0,9,CIN,12,10.5,37,12.33,111,0,21
25-130,0,0,0,0.75,19.2,12/8/13,Sun,16.2,13.2,0,13,,0,NFL,A.J. Green\GreeA.00,1,IND,6,W 42-28,1042,1,0,0,8,CIN,14,,12,9,72,0,0
26-029,0,0,0,0.571,20.2,12/13/15,Sun,15.2,13.2,0,13,@,0,NFL,T.Y. Hilton\HiltT.00,1,JAX,4,L 16-51,1043,0,0,0,7,IND,14,,33,18.86,132,0,0
25-353,0,0,0,0.833,18.2,10/12/14,Sun,15.7,13.2,0,6,,0,NFL,Chris Hogan\HogaCh00,1,NWE,5,L 22-37,1044,1,0,0,6,BUF,6,,14.4,12,72,0,0
24-310,0,0,0,0.4,19.2,12/21/14,Sun,16.2,13.2,0,15,,0,NFL,Alshon Jeffery\JeffAl00,1,DET,6,L 14-20,1045,1,0,0,15,CHI,16,,12,4.8,72,0,0
