Age,PAtt,RuAtt,Cmp,Ctch%,DK Pt,Date,Day,FD Pt,Fant Pt,Fmb,G#,H/A,Int,Lg,Name,Number of Records,Opp,Rec,Result,Rk,ReTd,PTd,RuTD,Tgt,Tm,Week,RuY/A,ReY/R,ReY/Tgt,ReYds,PYds,RuYds
26-327,0,0,0,0.818,35.8,12/27/15,Sun,28.3,23.8,0,15,,0,NFL,Julio Jones\JoneJu02,1,CAR,9,W 20-13,135,1,0,0,11,ATL,16,,19.78,16.18,178,0,0
24-265,0,0,0,0.667,32.8,9/30/12,Sun,26.8,23.8,0,4,,0,NFL,Andre Roberts\RobeAn00,1,MIA,6,W 24-21,136,2,0,0,9,ARI,4,,19.67,13.11,118,0,0
28-094,0,2,0,0.684,39.7,12/24/16,Sat,30.2,23.7,0,15,,0,NFL,Doug Baldwin\BaldDo00,1,ARI,13,L 31-34,137,1,0,0,19,SEA,16,3,13.15,9,171,0,6
26-143,0,0,0,0.667,31.7,11/30/14,Sun,27.7,23.7,0,12,,0,NFL,Antonio Brown\BrowAn04,1,NOR,8,L 32-35,138,2,0,0,12,PIT,13,,12.13,8.08,97,0,0
30-224,0,1,0,0.615,34.7,1/1/17,Sun,27.7,23.7,0,16,@,0,NFL,Julian Edelman\EdelJu00,1,MIA,8,W 35-14,139,1,0,0,13,NWE,17,6,18.88,11.62,151,0,6
29-193,0,0,0,0.692,35.7,9/25/16,Sun,28.2,23.7,0,3,@,0,NFL,Emmanuel Sanders\SandEm00,1,CIN,9,W 29-17,140,2,0,0,13,DEN,3,,13,9,117,0,0
24-203,0,2,0,0.857,29.6,10/4/15,Sun,26.6,23.6,0,4,@,0,NFL,Tavon Austin\AustTa00,1,ARI,6,W 24-22,141,2,0,0,7,STL,4,10,16,13.71,96,0,20
26-344,0,0,0,0.75,35.6,11/3/13,Sun,28.1,23.6,0,8,@,0,NFL,Jimmy Graham\GrahJi00,1,NYJ,9,L 20-26,142,2,0,0,12,NOR,9,,12.89,9.67,116,0,0
24-132,0,2,0,0.8,34.6,10/7/12,Sun,27.6,23.6,0,5,,0,NFL,Percy Harvin\HarvPe00,1,TEN,8,W 30-7,143,1,0,1,10,MIN,5,4,13.5,10.8,108,0,8
25-265,0,0,0,0.75,35.5,9/20/15,Sun,31,23.5,0,2,,0,NFL,Travis Benjamin\BenjTr00,1,TEN,3,W 28-14,144,2,0,0,4,CLE,2,,38.33,28.75,115,0,0
23-021,0,1,0,0.778,33.5,10/16/16,Sun,27,23.5,0,5,,0,NFL,Brandin Cooks\CookBr00,1,CAR,7,W 41-38,145,1,0,0,9,NOR,6,2,24.71,19.22,173,0,2
31-279,0,0,0,0.8,34.5,12/27/15,Sun,27.5,23.5,0,15,,0,NFL,Brandon Marshall\MarsBr00,1,NWE,8,W 26-20,146,2,0,0,10,NYJ,16,,14.38,11.5,115,0,0
26-264,0,1,0,1,32.4,9/18/16,Sun,26.4,23.4,0,2,,0,NFL,Travis Benjamin\BenjTr00,1,JAX,6,W 38-14,147,2,0,0,6,SDG,2,-1,19.17,19.17,115,0,-1
28-052,1,0,1,0.8,27.4,12/26/16,Mon,25.4,23.4,0,15,,0,NFL,Dez Bryant\BryaDe01,1,DET,4,W 42-21,148,2,1,0,5,DAL,16,,17.5,14,70,10,0
26-316,0,0,0,0.727,34.4,9/25/16,Sun,27.4,23.4,0,3,,0,NFL,T.Y. Hilton\HiltT.00,1,SDG,8,W 26-22,149,1,0,0,11,IND,3,,21.75,15.82,174,0,0
30-272,0,0,0,0.643,35.4,10/13/13,Sun,27.9,23.4,0,5,,0,NFL,Vincent Jackson\JackVi00,1,PHI,9,L 20-31,150,2,0,0,14,TAM,6,,12.67,8.14,114,0,0
23-340,0,0,0,0.833,31.3,11/28/16,Mon,25.8,23.3,0,11,@,0,NFL,Davante Adams\AdamDa01,1,PHI,5,W 27-13,151,2,0,0,6,GNB,12,,22.6,18.83,113,0,0
24-037,0,0,0,0.778,33.3,9/28/14,Sun,26.8,23.3,0,4,@,0,NFL,Randall Cobb\CobbRa00,1,CHI,7,W 38-17,152,2,0,0,9,GNB,4,,16.14,12.56,113,0,0
22-134,0,0,0,0.8,38.3,10/30/16,Sun,29.3,23.3,0,8,@,0,NFL,Amari Cooper\CoopAm00,1,TAM,12,W 30-24,153,1,0,0,15,OAK,8,,14.42,11.53,173,0,0
25-353,0,0,0,0.778,33.3,11/15/15,Sun,26.8,23.3,0,9,@,0,NFL,Michael Floyd\FloyMi00,1,SEA,7,W 39-32,154,2,0,0,9,ARI,10,,16.14,12.56,113,0,0
28-060,0,0,0,0.833,36.3,9/29/16,Thu,28.3,23.3,0,4,,0,NFL,A.J. Green\GreeA.00,1,MIA,10,W 22-7,155,1,0,0,12,CIN,4,,17.3,14.42,173,0,0
25-350,0,0,0,0.6,32.3,9/27/15,Sun,26.3,23.3,0,3,,0,NFL,Rishard Matthews\MattRi00,1,BUF,6,L 14-41,156,2,0,0,10,MIA,3,,18.83,11.3,113,0,0
24-280,0,0,0,0.857,32.3,11/29/15,Sun,26.3,23.3,0,11,@,0,NFL,Seth Roberts\RobeSe00,1,TEN,6,W 24-21,157,2,0,0,7,OAK,12,,18.83,16.14,113,0,0
26-004,0,0,0,1,32.3,12/29/13,Sun,26.3,23.3,0,16,@,0,NFL,Demaryius Thomas\ThomDe03,1,OAK,6,W 34-14,158,2,0,0,6,DEN,17,,18.83,18.83,113,0,0
24-028,0,1,0,1,30.3,10/6/13,Sun,25.3,23.3,0,5,,0,NFL,Terrance Williams\WillTe01,1,DEN,4,L 48-51,159,1,0,0,4,DAL,5,2,37.75,37.75,151,0,2
26-196,0,0,0,0.818,35.2,11/8/15,Sun,27.7,23.2,0,8,,0,NFL,Cole Beasley\BeasCo00,1,PHI,9,L 27-33,160,2,0,0,11,DAL,9,,12.44,10.18,112,0,0
22-355,0,0,0,0.778,33.2,11/2/14,Sun,26.7,23.2,0,9,@,0,NFL,Allen Hurns\HurnAl01,1,CIN,7,L 23-33,161,2,0,0,9,JAX,9,,16,12.44,112,0,0
23-330,0,0,0,1,35.2,9/11/16,Sun,27.7,23.2,1,1,,0,NFL,Willie Snead\SneaWi00,1,OAK,9,L 34-35,162,1,0,0,9,NOR,1,,19.11,19.11,172,0,0
26-130,0,1,0,0.636,33.2,12/9/12,Sun,26.7,23.2,0,13,,0,NFL,Mike Wallace\WallMi00,1,SDG,7,L 24-34,163,2,0,0,11,PIT,14,0,16,10.18,112,0,0
26-330,0,0,0,0.909,36.1,10/9/16,Sun,28.1,23.1,0,5,,0,NFL,T.Y. Hilton\HiltT.00,1,CHI,10,W 29-23,164,1,0,0,11,IND,5,,17.1,15.55,171,0,0
22-189,0,0,0,0.5,31.1,12/20/15,Sun,25.6,23.1,0,14,@,0,NFL,Sammy Watkins\WatkSa00,1,WAS,5,L 25-35,165,2,0,0,10,BUF,15,,22.2,11.1,111,0,0
25-331,0,0,0,0.625,28,10/7/12,Sun,25.5,23,0,5,,0,NFL,Victor Cruz\CruzVi00,1,CLE,5,W 41-27,166,3,0,0,8,NYG,5,,10,6.25,50,0,0
27-186,0,0,0,0.818,35,11/24/13,Sun,27.5,23,2,11,,0,NFL,Julian Edelman\EdelJu00,1,DEN,9,W 34-31,167,2,0,0,11,NWE,12,,12.22,10,110,0,0
22-299,0,0,0,0.444,30,9/7/14,Sun,25,23,0,1,@,0,NFL,Allen Hurns\HurnAl01,1,PHI,4,L 17-34,168,2,0,0,9,JAX,1,,27.5,12.22,110,0,0
22-051,0,1,0,0.625,27.9,11/15/15,Sun,25.4,22.9,0,10,@,0,NFL,Brandin Cooks\CookBr00,1,WAS,5,L 14-47,169,2,0,0,8,NOR,10,11,19.6,12.25,98,0,11
29-121,0,1,0,0.579,33.9,9/20/15,Sun,28.4,22.9,0,2,@,0,NFL,Julian Edelman\EdelJu00,1,BUF,11,W 40-32,170,2,0,0,19,NWE,2,12,8.82,5.11,97,0,12
28-084,0,0,0,1,33.9,10/23/16,Sun,26.9,22.9,0,7,,0,NFL,A.J. Green\GreeA.00,1,CLE,8,W 31-17,171,1,0,0,8,CIN,7,,21.13,21.13,169,0,0
23-001,0,1,0,0.813,38.9,11/29/15,Sun,29.4,22.9,0,11,@,0,NFL,Jarvis Landry\LandJa00,1,NYJ,13,L 20-38,172,1,0,0,16,MIA,12,4,12.69,10.31,165,0,4
25-226,0,0,0,0.778,32.8,9/18/16,Sun,26.3,22.8,0,2,,0,NFL,Kelvin Benjamin\BenjKe00,1,SFO,7,W 46-27,173,2,0,0,9,CAR,2,,15.43,12,108,0,0
22-060,0,1,0,1,30.8,10/21/12,Sun,26.8,22.8,0,7,@,0,NFL,Randall Cobb\CobbRa00,1,STL,8,W 30-20,174,2,0,0,8,GNB,7,19,11.13,11.13,89,0,19
28-055,0,0,0,0.583,32.8,11/8/15,Sun,26.3,22.8,0,8,@,0,NFL,Michael Crabtree\CrabMi00,1,PIT,7,L 35-38,175,2,0,0,12,OAK,9,,15.43,9,108,0,0
22-162,0,1,0,0.526,35.8,9/22/13,Sun,27.8,22.8,0,3,@,0,NFL,Josh Gordon\GordJo02,1,MIN,10,W 31-27,176,1,0,0,19,CLE,3,22,14.6,7.68,146,0,22
23-219,0,0,0,0.667,31.8,9/9/12,Sun,25.8,22.8,0,1,@,0,NFL,Julio Jones\JoneJu02,1,KAN,6,W 40-24,177,2,0,0,9,ATL,1,,18,12,108,0,0
30-175,0,0,0,0.625,27.8,9/14/14,Sun,25.3,22.8,0,2,@,0,NFL,Brandon Marshall\MarsBr00,1,SFO,5,W 28-20,178,3,0,0,8,CHI,2,,9.6,6,48,0,0
29-120,0,0,0,0.833,35.8,9/28/14,Sun,27.8,22.8,0,4,@,0,NFL,Jordy Nelson\NelsJo00,1,CHI,10,W 38-17,179,2,0,0,12,GNB,4,,10.8,9,108,0,0
28-075,0,1,0,0.8,33.8,10/16/16,Sun,26.8,22.8,0,6,,0,NFL,Golden Tate\TateGo00,1,LAR,8,W 31-28,180,1,0,0,10,DET,6,3,20.63,16.5,165,0,3
23-269,0,0,0,0.9,34.8,11/27/16,Sun,27.3,22.8,0,11,,0,NFL,Michael Thomas\ThomMi05,1,LAR,9,W 49-21,181,2,0,0,10,NOR,12,,12,10.8,108,0,0
22-147,0,0,0,1,33.8,11/8/15,Sun,26.8,22.8,0,8,,0,NFL,Sammy Watkins\WatkSa00,1,MIA,8,W 33-17,182,1,0,0,8,BUF,9,,21,21,168,0,0
27-177,0,0,0,0.765,39.7,1/3/16,Sun,29.2,22.7,1,16,@,0,NFL,Antonio Brown\BrowAn04,1,CLE,13,W 28-12,183,1,0,0,17,PIT,17,,14.38,11,187,0,0
25-093,0,0,0,0.583,32.7,12/16/12,Sun,26.2,22.7,0,14,@,0,NFL,Michael Crabtree\CrabMi00,1,NWE,7,W 41-34,184,2,0,0,12,SFO,15,,15.29,8.92,107,0,0
24-045,0,0,0,0.8,33.7,12/27/15,Sun,26.7,22.7,0,15,@,0,NFL,Allen Hurns\HurnAl01,1,NOR,8,L 27-38,185,2,0,0,10,JAX,16,,13.38,10.7,107,0,0
24-246,0,0,0,0.417,30.6,9/29/13,Sun,25.1,22.6,0,4,@,0,NFL,Torrey Smith\SmitTo02,1,BUF,5,L 20-23,186,1,0,0,12,BAL,4,,33.2,13.83,166,0,0
30-307,0,0,0,0.833,35.5,11/17/13,Sun,27.5,22.5,0,10,,0,NFL,Vincent Jackson\JackVi00,1,ATL,10,W 41-28,187,1,0,0,12,TAM,11,,16.5,13.75,165,0,0
28-130,0,0,0,0.714,30.5,9/28/14,Sun,25,22.5,0,4,,0,NFL,Eddie Royal\RoyaEd00,1,JAX,5,W 33-14,188,2,0,0,7,SDG,4,,21,15,105,0,0
30-032,0,0,0,0.5,29.5,9/29/13,Sun,24.5,22.5,0,4,,0,NFL,Nate Washington\WashNa00,1,NYJ,4,W 38-13,189,2,0,0,8,TEN,4,,26.25,13.13,105,0,0
22-074,0,0,0,0.625,30.4,9/18/16,Sun,24.9,22.4,0,2,,0,NFL,Corey Coleman\ColeCo00,1,BAL,5,L 20-25,190,2,0,0,8,CLE,2,,20.8,13,104,0,0
26-322,0,0,0,0.625,35.4,9/29/13,Sun,27.4,22.4,0,4,@,0,NFL,Victor Cruz\CruzVi00,1,KAN,10,L 7-31,191,1,0,0,16,NYG,4,,16.4,10.25,164,0,0
22-065,0,0,0,0.667,33.4,10/25/15,Sun,26.4,22.4,0,6,@,0,NFL,Mike Evans\EvanMi00,1,WAS,8,L 30-31,192,1,0,0,12,TAM,7,,20.5,13.67,164,0,0
23-098,0,0,0,0.727,33.4,11/27/16,Sun,26.4,22.4,0,11,,0,NFL,Mike Evans\EvanMi00,1,SEA,8,W 14-5,193,2,0,0,11,TAM,12,,13,9.45,104,0,0
23-076,0,0,0,0.857,31.4,12/13/15,Sun,25.4,22.4,0,13,@,0,NFL,Tyler Lockett\LockTy00,1,BAL,6,W 35-6,194,2,0,0,7,SEA,14,,17.33,14.86,104,0,0
23-176,0,6,0,0.667,29.3,10/9/16,Sun,24.3,22.3,0,5,@,0,NFL,Tevin Coleman\ColeTe01,1,DEN,4,W 23-16,195,1,0,0,6,ATL,5,5.17,33,22,132,0,31
30-085,0,0,0,0.846,36.3,12/15/13,Sun,27.8,22.3,0,14,,0,NFL,Greg Jennings\JennGr00,1,PHI,11,W 48-30,196,1,0,0,13,MIN,15,,14.82,12.54,163,0,0
27-361,0,0,0,0.533,33.2,9/16/12,Sun,26.2,22.2,0,2,@,0,NFL,Dwayne Bowe\BoweDw00,1,BUF,8,L 17-35,197,2,0,0,15,KAN,2,,12.75,6.8,102,0,0
26-062,0,0,0,0.6,28.2,11/10/13,Sun,23.7,22.2,0,10,@,0,NFL,Riley Cooper\CoopRi00,1,GNB,3,W 27-13,198,2,0,0,5,PHI,10,,34,20.4,102,0,0
25-284,0,1,0,0.8,26.2,11/27/16,Sun,24.2,22.2,0,11,,0,NFL,Taylor Gabriel\GabrTa00,1,ARI,4,W 38-19,199,2,0,0,5,ATL,12,27,18.75,15,75,0,27
29-256,0,0,0,0.7,32.2,11/27/16,Sun,25.7,22.2,0,11,,0,NFL,Emmanuel Sanders\SandEm00,1,KAN,7,L 27-30,200,1,0,0,10,DEN,12,,23.14,16.2,162,0,0
22-222,0,0,0,0.833,30.2,11/30/14,Sun,24.7,22.2,0,12,@,0,NFL,Kenny Stills\StilKe00,1,PIT,5,W 35-32,201,1,0,0,6,NOR,13,,32.4,27,162,0,0
31-117,0,0,0,0.857,31.1,9/25/16,Sun,25.1,22.1,0,3,,0,NFL,Jordy Nelson\NelsJo00,1,DET,6,W 34-27,202,2,0,0,7,GNB,3,,16.83,14.43,101,0,0
28-004,0,1,0,0.8,33,9/25/16,Sun,26,22,0,3,,0,NFL,Doug Baldwin\BaldDo00,1,SFO,8,W 37-18,203,1,0,0,10,SEA,3,-4,20.5,16.4,164,0,-4
33-087,0,1,0,0.818,34,12/29/13,Sun,26.5,22,0,16,@,0,NFL,Anquan Boldin\BoldAn00,1,ARI,9,W 23-20,204,1,0,0,11,SFO,17,11,16.56,13.55,149,0,11
31-056,0,0,0,0.7,32,10/26/14,Sun,25.5,22,0,7,,0,NFL,Larry Fitzgerald\FitzLa00,1,PHI,7,W 24-20,205,1,0,0,10,ARI,8,,22.86,16,160,0,0
23-004,0,0,0,0.667,31,11/18/12,Sun,25,22,1,10,@,0,NFL,T.Y. Hilton\HiltT.00,1,NWE,6,L 24-59,206,2,0,0,9,IND,11,,16.67,11.11,100,0,0
27-202,0,0,0,0.818,34,11/29/15,Sun,26.5,22,0,11,,0,NFL,Jeremy Maclin\MaclJe00,1,BUF,9,W 30-22,207,1,0,0,11,KAN,12,,17.78,14.55,160,0,0
28-261,0,0,0,0.526,35,12/9/12,Sun,27,22,0,13,@,0,NFL,Brandon Marshall\MarsBr00,1,MIN,10,L 14-21,208,1,0,0,19,CHI,14,,16,8.42,160,0,0
24-231,0,3,0,0.571,26.9,11/1/15,Sun,23.9,21.9,1,7,,0,NFL,Tavon Austin\AustTa00,1,SFO,4,W 27-6,209,1,0,1,7,STL,8,7,24.5,14,98,0,21
26-054,0,0,0,0.667,25.9,12/28/14,Sun,23.9,21.9,0,16,@,0,NFL,Dez Bryant\BryaDe01,1,WAS,4,W 44-17,210,2,0,0,6,DAL,17,,24.75,16.5,99,0,0
25-234,0,0,0,0.727,29.9,11/4/12,Sun,25.9,21.9,0,8,@,0,NFL,Eric Decker\DeckEr00,1,CIN,8,W 31-23,211,2,0,0,11,DEN,9,,12.38,9,99,0,0
23-157,0,0,0,0.727,32.9,12/20/15,Sun,25.9,21.9,0,14,,0,NFL,Jordan Matthews\MattJo00,1,ARI,8,L 17-40,212,1,0,0,11,PHI,15,,19.88,14.45,159,0,0
