Age,RuAtt,PAtt,Cmp,Pos,Fant Pt,GS,G,Int,Name,Number of Records,Rank,Rec,RuTd,ReTD,PTD,Tgt,Team,RuYPA,RuYds,ReYds,PYds
23,6,0,0,WR,183,15,16,0,Julio Jones*\JoneJu02,1,43,79,0,10,0,128,ATL,5,30,1198,0
24,49,484,282,QB,183,16,16,13,Ryan Tannehill\TannRy00,1,44,0,2,0,12,0,MIA,4.31,211,0,3294
27,248,0,0,RB,177,15,15,0,Matt Forte\FortMa00,1,45,44,5,1,0,59,CHI,4.41,1094,340,0
31,0,0,0,WR,177,15,16,0,Roddy White\WhitRo00,1,46,92,0,7,0,142,ATL,,0,1351,0
27,276,0,0,RB,176,15,16,0,Chris Johnson\JohnCh04,1,47,36,6,0,0,49,TEN,4.5,1243,232,0
25,63,218,136,QB,174,7,13,3,Colin Kaepernick\KaepCo00,1,48,0,5,0,10,0,SFO,6.59,415,0,1814
27,227,0,0,RB,172,16,16,0,Reggie Bush\BushRe00,1,49,35,6,2,0,52,MIA,4.34,986,292,0
31,2,0,0,WR,171,12,16,0,Wes Welker*\WelkWe00,1,50,118,0,6,0,174,NWE,10,20,1354,0
29,0,0,0,WR,171,13,16,0,Marques Colston\ColsMa00,1,51,83,0,10,0,130,NOR,,0,1154,0
26,0,0,0,WR,169,16,16,0,Victor Cruz*\CruzVi00,1,52,86,0,10,0,143,NYG,,0,1092,0
27,276,0,0,RB,167,14,16,0,Shonn Greene\GreeSh00,1,53,19,8,0,0,30,NYJ,3.85,1063,151,0
29,27,517,297,QB,166,15,15,17,Brandon Weeden\WeedBr00,1,54,0,0,0,14,1,CLE,4.11,111,-9,3385
25,1,0,0,WR,165,16,16,0,Michael Crabtree\CrabMi00,1,55,85,0,9,0,127,SFO,8,8,1105,0
29,258,0,0,RB,163,16,16,0,Steven Jackson\JackSt00,1,56,38,4,0,0,53,STL,4.05,1045,321,0
34,1,0,0,WR,163,15,16,0,Reggie Wayne*\WaynRe00,1,57,106,0,5,0,195,IND,-5,-5,1355,0
28,0,0,0,WR,162,16,16,0,James Jones\JoneJa04,1,58,64,0,14,0,98,GNB,,0,784,0
30,222,0,0,RB,157,16,16,0,Michael Turner\TurnMi00,1,59,19,10,1,0,30,ATL,3.6,800,128,0
26,221,0,0,RB,156,12,14,0,Ahmad Bradshaw\BradAh00,1,60,23,6,0,0,31,NYG,4.59,1015,245,0
25,0,1,1,WR,155,16,16,0,Mike Williams\WillMi04,1,61,63,0,9,0,126,TAM,,0,996,28
22,10,0,0,WR,155,8,15,0,Randall Cobb\CobbRa00,1,62,80,0,8,0,104,GNB,13.2,132,954,0
26,0,0,0,TE,152,9,15,0,Jimmy Graham\GrahJi00,1,63,85,0,9,0,135,NOR,,0,982,0
27,278,0,0,RB,152,15,15,0,BenJarvus Green-Ellis\GreeBe00,1,64,22,6,0,0,30,CIN,3.94,1094,104,0
32,62,351,204,QB,152,10,10,10,Michael Vick\VickMi00,1,65,0,1,0,12,0,PHI,5.35,332,0,2362
22,215,0,0,RB,149,14,14,0,Mikel Leshoure\LeshMi00,1,66,34,9,0,0,49,DET,3.71,798,214,0
24,200,0,0,RB,145,12,12,0,LeSean McCoy\McCoLe01,1,67,54,2,3,0,67,PHI,4.2,840,373,0
23,0,0,0,TE,143,11,11,0,Rob Gronkowski*\GronRo00,1,68,55,0,11,0,79,NWE,,0,790,0
33,3,0,0,WR,142,16,16,0,Steve Smith\SmitSt01,1,69,73,0,4,0,137,CAR,9,27,1174,0
36,0,0,0,TE,141,16,16,0,Tony Gonzalez*+\GonzTo00,1,70,93,0,8,0,124,ATL,,0,930,0
29,48,0,0,RB,141,6,13,0,Darren Sproles\SproDa00,1,71,75,1,7,0,104,NOR,5.08,244,667,0
29,0,0,0,WR,140,7,15,0,Lance Moore\MoorLa00,1,72,65,0,6,0,104,NOR,,0,1041,0
26,0,0,0,WR,139,16,16,0,Steve Johnson\JohnSt00,1,73,79,0,6,0,148,BUF,,0,1046,0
25,1,0,0,WR,138,9,14,0,Cecil Shorts\ShorCe00,1,74,55,0,7,0,105,JAX,-4,-4,979,0
23,3,0,0,WR,134,16,16,0,Torrey Smith\SmitTo02,1,75,49,0,8,0,110,BAL,3,9,855,0
30,0,0,0,TE,132,15,15,0,Heath Miller*\MillHe00,1,76,71,0,8,0,101,PIT,,0,816,0
24,41,314,177,QB,132,11,11,11,Jake Locker\LockJa00,1,77,0,1,0,10,1,TEN,7.1,291,0,2176
23,5,1,0,WR,131,1,15,0,T.Y. Hilton\HiltT.00,1,78,50,0,7,0,90,IND,5.8,29,861,0
29,173,0,0,RB,130,10,16,0,DeAngelo Williams\WillDe02,1,79,13,5,2,0,20,CAR,4.26,737,187,0
26,5,0,0,WR,130,14,15,0,Mike Wallace\WallMi00,1,80,64,0,8,0,119,PIT,1.4,7,836,0
28,0,0,0,WR,128,15,16,0,Miles Austin\AustMi00,1,81,66,0,6,0,119,DAL,,0,943,0
24,0,0,0,WR,126,15,15,0,Jeremy Maclin\MaclJe00,1,82,69,0,7,0,122,PHI,,0,857,0
28,31,218,153,QB,123,9,10,5,Alex Smith\SmitAl03,1,83,0,0,0,13,0,SFO,4.26,132,0,1737
30,0,0,0,TE,122,16,16,0,Jason Witten*\WittJa00,1,84,110,0,3,0,147,DAL,,0,1039,0
22,2,0,0,WR,121,14,16,0,Justin Blackmon\BlacJu00,1,85,64,0,5,0,132,JAX,11.5,23,865,0
27,0,0,0,WR,119,10,12,0,Jordy Nelson\NelsJo00,1,86,49,0,7,0,73,GNB,,0,745,0
32,1,0,0,WR,118,15,15,0,Anquan Boldin\BoldAn00,1,87,65,0,4,0,112,BAL,3,3,921,0
26,2,2,1,WR,118,16,16,0,Sidney Rice\RiceSi01,1,88,50,0,7,0,82,SEA,3,6,748,25
26,22,453,246,QB,118,15,15,18,Mark Sanchez\SancMa00,1,89,0,0,0,13,0,NYJ,1.27,28,0,2883
27,76,0,0,RB,117,2,16,0,Danny Woodhead\WoodDa02,1,90,40,4,3,0,55,NWE,3.96,301,446,0
24,1,0,0,WR,116,15,15,0,Denarius Moore\MoorDe02,1,91,51,0,7,0,114,OAK,-5,-5,741,0
24,3,1,1,WR,116,15,15,0,Golden Tate\TateGo00,1,92,45,0,7,1,68,SEA,6.67,20,688,23
22,211,0,0,RB,115,12,16,0,Vick Ballard\BallVi00,1,93,17,2,1,0,27,IND,3.86,814,152,0
31,0,0,0,WR,115,15,16,0,Brandon Lloyd\LloyBr00,1,94,74,0,4,0,131,NWE,,0,911,0
27,0,0,0,TE,114,16,16,0,Greg Olsen\OlseGr00,1,95,69,0,5,0,104,CAR,,0,843,0
27,19,308,166,QB,113,6,10,11,Chad Henne\HennCh01,1,96,1,1,0,11,0,JAX,3.37,64,-6,2084
31,167,0,0,RB,113,9,10,0,Willis McGahee\McGaWi00,1,97,26,4,0,0,33,DEN,4.38,731,221,0
26,0,0,0,WR,112,15,16,0,Brian Hartline\HartBr00,1,98,74,0,1,0,131,MIA,,0,1083,0
31,0,0,0,WR,111,14,14,0,Malcom Floyd\FloyMa00,1,99,56,0,5,0,85,SDG,,0,814,0
25,216,0,0,RB,111,12,12,0,Darren McFadden\McFaDa00,1,100,42,2,1,0,63,OAK,3.27,707,258,0
24,161,0,0,RB,111,10,10,0,DeMarco Murray\MurrDe00,1,101,35,4,0,0,42,DAL,4.12,663,251,0
27,0,0,0,TE,109,5,16,0,Dennis Pitta\PittDe00,1,102,61,0,7,0,94,BAL,,0,669,0
21,0,0,0,WR,109,13,16,0,Josh Gordon\GordJo02,1,103,50,0,5,0,96,CLE,,0,805,0
24,4,0,0,WR,109,15,15,0,Andre Roberts\RobeAn00,1,104,64,0,5,0,114,ARI,7.25,29,759,0
30,0,0,0,TE,108,14,15,0,Owen Daniels*\DaniOw00,1,105,62,0,6,0,104,HOU,,0,716,0
26,0,1,0,WR,108,6,10,0,Danario Alexander\AlexDa00,1,106,37,0,7,0,62,SDG,,0,658,0
23,0,0,0,TE,105,16,16,0,Kyle Rudolph*\RudoKy00,1,107,53,0,9,0,93,MIN,,0,493,0
27,0,0,0,TE,105,16,16,0,Brandon Myers\MyerBr00,1,108,79,0,4,0,105,OAK,,0,806,0
24,7,2,0,WR,105,10,13,1,Antonio Brown\BrowAn04,1,109,66,0,5,0,106,PIT,3.43,24,787,0
33,3,0,0,WR,105,1,16,0,Santana Moss\MossSa00,1,110,41,0,8,0,62,WAS,4.67,14,573,0
26,82,0,0,RB,104,0,16,0,Joique Bell\BellJo01,1,111,52,3,0,0,68,DET,5.05,414,485,0
29,0,0,0,WR,104,16,16,0,Larry Fitzgerald*\FitzLa00,1,112,71,0,4,0,156,ARI,,0,798,0
24,0,0,0,TE,102,15,16,0,Jermaine Gresham*\GresJe00,1,113,64,0,5,0,94,CIN,,0,737,0
25,0,0,0,WR,99,13,16,0,Brandon Gibson\GibsBr00,1,114,51,0,5,0,82,STL,,0,691,0
24,22,0,0,WR,99,8,9,0,Percy Harvin\HarvPe00,1,115,62,1,3,0,85,MIN,4.36,96,677,0
29,0,0,0,WR,99,14,16,0,Nate Washington\WashNa00,1,116,46,0,4,0,89,TEN,,0,746,0
25,184,0,0,RB,98,9,12,0,Ryan Mathews\MathRy00,1,117,39,1,0,0,56,SDG,3.84,707,252,0
28,4,0,0,WR,97,15,16,0,Donnie Avery\AverDo00,1,118,60,0,3,0,124,IND,2.25,9,781,0
26,73,0,0,RB,97,2,10,0,Andre Brown\BrowAn03,1,119,12,8,0,0,17,NYG,5.27,385,86,0
32,0,0,0,TE,96,15,15,0,Antonio Gates\GateAn00,1,120,49,0,7,0,80,SDG,,0,538,0
28,0,0,0,WR,96,12,13,0,Dwayne Bowe\BoweDw00,1,121,59,0,3,0,114,KAN,,0,801,0
26,3,0,0,WR,95,12,14,0,Brandon LaFell\LaFeBr00,1,122,44,0,4,0,76,CAR,11.67,35,677,0
28,105,0,0,RB,95,4,15,0,Pierre Thomas\ThomPi00,1,123,39,1,1,0,53,NOR,4.5,473,354,0
23,18,278,162,QB,94,10,10,6,Blaine Gabbert\GabbBl00,1,124,0,0,0,9,0,JAX,3.11,56,0,1662
25,0,0,0,TE,93,16,16,0,Martellus Bennett\BennMa00,1,125,55,0,5,0,89,NYG,,0,626,0
23,156,0,0,RB,93,5,16,0,Mark Ingram\IngrMa01,1,126,6,5,0,0,10,NOR,3.86,602,29,0
25,111,0,0,RB,93,7,16,0,Felix Jones\JoneFe00,1,127,25,3,2,0,36,DAL,3.62,402,262,0
25,2,0,0,WR,92,14,15,0,Darrius Heyward-Bey\HeywDa00,1,128,41,0,5,0,80,OAK,8,16,606,0
27,0,0,0,TE,91,13,15,0,Scott Chandler\ChanSc00,1,129,43,0,6,0,74,BUF,,0,571,0
23,3,0,0,WR,91,12,15,0,Chris Givens\GiveCh00,1,130,42,0,3,0,80,STL,4,12,698,0
24,5,1,1,WR,91,7,16,0,Jeremy Kerley\KerlJe00,1,131,56,0,2,0,95,NYJ,1.6,8,827,42
25,138,0,0,RB,91,6,8,0,Knowshon Moreno\MoreKn00,1,132,21,4,0,0,26,DEN,3.8,525,167,0
23,2,0,0,WR,90,16,16,0,Greg Little\LittGr00,1,133,53,0,4,0,94,CLE,7.5,15,647,0
26,2,0,0,WR,88,10,10,0,Pierre Garcon\GarcPi00,1,134,44,0,4,0,68,WAS,4.5,9,633,0
22,94,0,0,RB,88,0,16,0,Jacquizz Rodgers\RodgJa00,1,135,53,1,1,0,59,ATL,3.85,362,402,0
24,0,0,0,WR,87,11,13,0,Hakeem Nicks\NickHa01,1,136,53,0,3,0,100,NYG,,0,692,0
27,54,0,0,RB,87,5,16,0,Mike Tolbert\TolbMi00,1,137,27,7,0,0,39,CAR,3.39,183,268,0
23,11,265,161,QB,86,6,7,5,Nick Foles\FoleNi00,1,138,0,1,0,6,0,PHI,3.82,42,0,1699
28,0,0,0,TE,85,16,16,0,Vernon Davis\DaviVe00,1,139,41,0,5,0,61,SFO,,0,548,0
28,16,183,109,QB,85,5,6,3,Kevin Kolb\KolbKe00,1,140,0,1,0,8,0,ARI,6.25,100,0,1169
23,1,0,0,WR,85,5,15,0,Kendall Wright\WrigKe01,1,141,64,0,4,0,104,TEN,4,4,626,0
27,0,0,0,WR,84,13,13,0,Davone Bess\BessDa00,1,142,61,0,1,0,104,MIA,,0,778,0
36,0,0,0,WR,84,9,15,0,Brandon Stokley\StokBr00,1,143,45,0,5,0,58,DEN,,0,544,0
27,2,0,0,WR,83,8,11,0,Danny Amendola\AmenDa00,1,144,63,0,3,0,101,STL,4,8,666,0
24,0,0,0,WR,83,11,14,0,Kenny Britt\BritKe00,1,145,45,0,4,0,90,TEN,,0,589,0
27,59,0,0,RB,83,14,16,0,Marcel Reece*\ReecMa00,1,146,52,0,1,0,73,OAK,4.59,271,496,0
24,110,0,0,RB,82,2,14,0,Bilal Powell\PoweBi00,1,147,17,4,0,0,36,NYJ,3.97,437,140,0
23,156,0,0,RB,81,6,13,0,Jonathan Dwyer\DwyeJo00,1,148,18,2,0,0,25,PIT,3.99,623,106,0
26,3,0,0,WR,81,11,11,0,DeSean Jackson\JackDe00,1,149,45,0,2,0,87,PHI,-2.33,-7,700,0
31,115,0,0,RB,81,8,10,0,Fred Jackson\JackFr02,1,150,34,3,1,0,42,BUF,3.8,437,217,0
21,115,0,0,RB,80,4,16,0,Bryce Brown\BrowBr02,1,151,13,4,0,0,19,PHI,4.9,564,56,0
26,6,0,0,WR,80,2,14,0,Andrew Hawkins\HawkAn00,1,152,51,0,4,0,80,CIN,5,30,533,0
23,1,0,0,TE,79,10,10,0,Aaron Hernandez\HernAa00,1,153,51,0,5,0,83,NWE,5,5,483,0
30,27,277,161,QB,78,8,9,12,Matt Cassel\CassMa00,1,154,0,1,0,6,0,KAN,5.37,145,0,1796
24,0,0,0,TE,78,14,16,0,Lance Kendricks\KendLa00,1,155,42,0,4,0,64,STL,,0,519,0
28,0,0,0,TE,78,15,16,0,Marcedes Lewis\LewiMa00,1,156,52,0,4,0,77,JAX,,0,540,0
28,114,0,0,RB,77,1,13,0,Michael Bush\BushMi00,1,157,9,5,0,0,11,CHI,3.61,411,83,0
25,0,0,0,TE,77,14,16,0,Jermichael Finley\FinlJe00,1,158,61,0,2,0,87,GNB,,0,667,0
37,13,221,138,QB,76,5,8,5,Matt Hasselbeck\HassMa00,1,159,0,0,0,7,0,TEN,2.92,38,0,1367
24,0,0,0,WR,76,2,16,0,Rod Streater\StreRo00,1,160,39,0,3,0,74,OAK,,0,584,0
25,0,0,0,TE,74,5,13,0,Jared Cook\CookJa02,1,161,44,0,4,0,73,TEN,,0,523,0
24,2,0,0,WR,73,5,16,0,Leonard Hankerson\HankLe00,1,162,38,0,3,0,57,WAS,2.5,5,543,0
27,0,0,0,TE,72,14,15,0,Brent Celek\CeleBr00,1,163,57,0,1,0,88,PHI,,0,684,0
22,3,0,0,TE,71,16,16,0,Dwayne Allen\AlleDw00,1,164,45,0,3,0,66,IND,1.67,5,521,0
27,0,0,0,TE,71,11,14,0,Brandon Pettigrew\PettBr00,1,165,59,0,3,0,102,DET,,0,567,0
28,110,0,0,RB,71,5,14,0,Isaac Redman\RedmIs20,1,166,19,2,0,0,23,PIT,3.73,410,244,0
25,110,0,0,RB,70,5,14,0,LaRod Stephens-Howling\StepLa00,1,167,17,4,0,0,30,ARI,3.24,356,106,0
28,0,0,0,WR,69,3,13,0,Domenik Hixon\HixoDo00,1,168,39,0,2,0,59,NYG,,0,567,0
25,2,0,0,WR,69,1,15,0,Kevin Ogletree\OgleKe00,1,169,32,0,4,0,55,DAL,4.5,9,436,0
33,0,0,0,TE,68,7,16,0,Dallas Clark\ClarDa00,1,170,47,0,4,0,75,TAM,,0,435,0
25,0,0,0,WR,68,10,12,0,Donald Jones\JoneDo00,1,171,41,0,4,0,67,BUF,,0,443,0
